INDEX;OPSNAME;REGION;CITY
111539;МОСКВА 539;МОСКВА;
111555;МОСКВА 555;МОСКВА;
111558;МОСКВА 558;МОСКВА;
111578;МОСКВА 578;МОСКВА;
111621;МОСКВА 621;МОСКВА;
111622;МОСКВА 622;МОСКВА;
111625;МОСКВА 625;МОСКВА;
111672;МОСКВА 672;МОСКВА;
111673;МОСКВА 673;МОСКВА;
111674;МОСКВА 674;МОСКВА;
111675;МОСКВА 675;МОСКВА;
111677;МОСКВА;МОСКВА;
111901;МОСКВА МСП-3 УЧ-1;МОСКВА;
111902;МОСКВА МСП-3 УЧ-2;МОСКВА;
111903;МОСКВА МСП-3 УЧ-3;МОСКВА;
111904;МОСКВА МСП-3 УЧ-4;МОСКВА;
111905;МОСКВА МСП-3 УЧ-5;МОСКВА;
111906;МОСКВА МСП-3 УЧ-6;МОСКВА;
111907;МОСКВА МСП-3 УЧ-7;МОСКВА;
111908;МОСКВА МСП-3 УЧ-8;МОСКВА;
111909;МОСКВА МСП-3 УЧ-9;МОСКВА;
111910;МОСКВА МСП-3 УЧ-10;МОСКВА;
111911;МОСКВА МСП-3 УЧ-11;МОСКВА;
111912;МОСКВА МСП-3 УЧ-12;МОСКВА;
111913;МОСКВА МСП-3 УЧ-13;МОСКВА;
111914;МОСКВА МСП-3 УЧ-14;МОСКВА;
111915;МОСКВА МСП-3 УЧ-15;МОСКВА;
111916;МОСКВА МСП-3 УЧ-16;МОСКВА;
111917;МОСКВА МСП-3 УЧ-17;МОСКВА;
111918;МОСКВА МСП-3 УЧ-18;МОСКВА;
111919;МОСКВА МСП-3 УЧ-19;МОСКВА;
111920;МОСКВА МСП-3 УЧ-20;МОСКВА;
111921;МОСКВА МСП-3 УЧ-21;МОСКВА;
111922;МОСКВА МСП-3 УЧ-22;МОСКВА;
111923;МОСКВА МСП-3 УЧ-23;МОСКВА;
111924;МОСКВА МСП-3 УЧ-24;МОСКВА;
111925;МОСКВА МСП-3 УЧ-25;МОСКВА;
111926;МОСКВА МСП-3 УЧ-26;МОСКВА;
111927;МОСКВА МСП-3 УЧ-27;МОСКВА;
111928;МОСКВА МСП-3 УЧ-28;МОСКВА;
111929;МОСКВА МСП-3 УЧ-29;МОСКВА;
111930;МОСКВА МСП-3 УЧ-30;МОСКВА;
111931;МОСКВА МСП-3 УЧ-31;МОСКВА;
111932;МОСКВА МСП-3 УЧ-32;МОСКВА;
111933;МОСКВА МСП-3 УЧ-33;МОСКВА;
111934;МОСКВА МСП-3 УЧ-34;МОСКВА;
111935;МОСКВА МСП-3 УЧ-35;МОСКВА;
111936;МОСКВА МСП-3 УЧ-36;МОСКВА;
111937;МОСКВА МСП-3 УЧ-37;МОСКВА;
111938;МОСКВА МСП-3 УЧ-38;МОСКВА;
111939;МОСКВА МСП-3 УЧ-39;МОСКВА;
111940;МОСКВА МСП-3 УЧ-40;МОСКВА;
111941;МОСКВА МСП-3 УЧ-41;МОСКВА;
111942;МОСКВА МСП-3 УЧ-42;МОСКВА;
115172;МОСКВА 172;МОСКВА;
111943;МОСКВА МСП-3 УЧ-43;МОСКВА;
111944;МОСКВА МСП-3 УЧ-44;МОСКВА;
111945;МОСКВА МСП-3 УЧ-45;МОСКВА;
111946;МОСКВА МСП-3 УЧ-46;МОСКВА;
111947;МОСКВА МСП-3 ЦЕХ-3 МПКО-ВНУКОВО УЧ-1.1;МОСКВА;
